County,State,Total Population,Under 18 ,65 & Over,Pediatric Asthma sufferers,Adult Asthma sufferers,COPD sufferers,Lung Cancer sufferers,Heart Disease,Ever Smoked,Poverty,People of Color,Orange Ozone Days,Red Ozone Days,Purple Ozone Days,Wgt. Avg. Ozone Days,Ozone Grade,Orange Pollutant Days,Red  Pollutant Days,Purple  Pollutant Days,Maroon  Pollutant Days,Wgt. Avg.  Pollutant Days,Pollutant Grade,Annual Design Value,Annual Pass/Fail
Albany,Wyoming,38601,6287,4530,540,2795,1629,17,2041,14217,7451,6920,4,0,0,1.3,C,0,1,0,0,0.5,B,4.6,PASS
Big Horn,Wyoming,11881,3003,2495,258,773,650,5,843,4060,1519,1463,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Campbell,Wyoming,46140,12611,4642,1083,2912,1944,21,2333,14942,4200,5814,2,0,0,0.7,B,3,3,0,0,2.5,D,4.5,PASS
Carbon,Wyoming,14971,3419,2563,294,1005,766,7,969,5222,1894,3412,0,0,0,0,A,INC,INC,INC,INC,INC,INC,INC,INC
Converse,Wyoming,13640,3354,2267,288,895,699,6,876,4662,1287,1571,0,0,0,0,A,1,0,0,0,0.3,B,INC,INC
Fremont,Wyoming,39531,10104,7222,868,2561,2041,18,2605,13369,6070,12039,0,0,0,0,A,2,0,0,0,0.7,B,7.2,PASS
Goshen,Wyoming,13376,2685,2934,231,931,769,6,997,4878,1567,1952,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC,INC
Johnson,Wyoming,8460,1854,2004,159,576,506,4,659,3038,859,737,INC,INC,INC,INC,INC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Laramie,Wyoming,98976,23032,15864,1979,6600,4891,45,6161,34216,8839,21278,1,0,0,0.3,B,1,2,0,0,1.3,C,4.4,PASS
Natrona,Wyoming,79115,19040,12180,1636,5222,3850,36,4826,27052,7677,10602,0,0,0,0,A,2,0,0,0,0.7,B,5,PASS
Park,Wyoming,29324,6039,6805,519,2028,1733,13,2256,10669,2921,2664,INC,INC,INC,INC,INC,2,0,0,0,0.7,B,4.3,PASS
Sheridan,Wyoming,30233,6462,6347,555,2069,1704,14,2196,10842,2551,2575,INC,INC,INC,INC,INC,4,1,0,0,1.8,C,7.2,PASS
Sublette,Wyoming,9813,2209,1911,190,662,540,4,688,3464,658,1077,7,0,0,2.3,D,2,0,0,0,0.7,B,5.3,PASS
Sweetwater,Wyoming,43051,11290,5214,970,2759,1909,19,2338,14206,3540,8906,2,0,0,0.7,B,0,0,0,0,0,A,5.3,PASS
Teton,Wyoming,23081,4239,3558,364,1637,1177,10,1464,8461,1443,4269,0,0,0,0,A,2,0,0,0,0.7,B,4.8,PASS
Uinta,Wyoming,20299,5844,2858,502,1257,933,9,1161,6514,2010,2558,1,0,0,0.3,B,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Weston,Wyoming,6967,1447,1429,124,481,401,3,511,2522,777,700,1,0,0,0.3,B,INC,INC,INC,INC,INC,INC,INC,INC
